spec,outcome,version,covset,yearFE,se_type,HR,lo,hi,p,n_risk,n_events,sig
harmonized|v1_abnormal|noFE|model,v1_abnormal,v1,harmonized,False,model,0.9579,0.9205,0.9969,0.03460119096451717,50980,13016,True
harmonized|v1_abnormal|noFE|cluster,v1_abnormal,v1,harmonized,False,cluster,0.9579,0.9162,1.0016,0.05880804733761519,50980,13016,False
harmonized|v1_abnormal|yearFE|model,v1_abnormal,v1,harmonized,True,model,0.9626,0.926,1.0006,0.053611634798599865,50980,13016,False
harmonized|v1_abnormal|yearFE|cluster,v1_abnormal,v1,harmonized,True,cluster,0.9626,0.9221,1.0049,0.08214611797108368,50980,13016,False
harmonized|v3_abnormal|noFE|model,v3_abnormal,v3,harmonized,False,model,0.9533,0.9182,0.9898,0.012612586459348629,47051,14668,True
harmonized|v3_abnormal|noFE|cluster,v3_abnormal,v3,harmonized,False,cluster,0.9533,0.9137,0.9947,0.027426100130883976,47051,14668,True
harmonized|v3_abnormal|yearFE|model,v3_abnormal,v3,harmonized,True,model,0.9644,0.9296,1.0004,0.05250460971520223,47051,14668,False
harmonized|v3_abnormal|yearFE|cluster,v3_abnormal,v3,harmonized,True,cluster,0.9644,0.924,1.0065,0.09622913641602109,47051,14668,False
full|ecg_abnormal|noFE|model,ecg_abnormal,v1,full,False,model,0.9742,0.9336,1.0166,0.22924398961943873,51112,13056,False
full|ecg_abnormal|noFE|cluster,ecg_abnormal,v1,full,False,cluster,0.9742,0.9303,1.0203,0.26789310364452495,51112,13056,False
full|ecg_abnormal|yearFE|model,ecg_abnormal,v1,full,True,model,0.9734,0.934,1.0145,0.2010129313397382,51112,13056,False
full|ecg_abnormal|yearFE|cluster,ecg_abnormal,v1,full,True,cluster,0.9734,0.9308,1.018,0.2379031020325959,51112,13056,False
full|ecg_stt|noFE|model,ecg_stt,v1,full,False,model,1.0787,1.0204,1.1404,0.007576359823148283,71813,7488,True
full|ecg_stt|noFE|cluster,ecg_stt,v1,full,False,cluster,1.0787,1.0098,1.1522,0.02441405747103036,71813,7488,True
full|ecg_stt|yearFE|model,ecg_stt,v1,full,True,model,1.0744,1.0201,1.1316,0.006654988096602379,71813,7488,True
full|ecg_stt|yearFE|cluster,ecg_stt,v1,full,True,cluster,1.0744,1.013,1.1396,0.01686490538241587,71813,7488,True
full|ecg_af|noFE|model,ecg_af,v1,full,False,model,0.8761,0.6589,1.1649,0.36276590977554246,80871,310,False
full|ecg_af|noFE|cluster,ecg_af,v1,full,False,cluster,0.8761,0.6388,1.2014,0.4116218603342411,80871,310,False
full|ecg_af|yearFE|model,ecg_af,v1,full,True,model,0.9277,0.8204,1.049,0.23112993307602747,80871,310,False
full|ecg_af|yearFE|cluster,ecg_af,v1,full,True,cluster,0.9277,0.8787,0.9794,0.006677266363174961,80871,310,True
full|ecg_anyBlock|noFE|model,ecg_anyBlock,v1,full,False,model,1.0342,0.9403,1.1375,0.4884155448340499,75884,2609,False
full|ecg_anyBlock|noFE|cluster,ecg_anyBlock,v1,full,False,cluster,1.0342,0.9153,1.1686,0.5893051454069796,75884,2609,False
full|ecg_anyBlock|yearFE|model,ecg_anyBlock,v1,full,True,model,1.0404,0.9622,1.1249,0.32064188864939974,75884,2609,False
full|ecg_anyBlock|yearFE|cluster,ecg_anyBlock,v1,full,True,cluster,1.0404,0.9638,1.123,0.3099439068931354,75884,2609,False
