outcome_def,yearFE,n_risk,events,HR,lo,hi,p
v1_draft(现稿v1),False,50905,13001,0.9579,0.9205,0.9969,0.034628212224745644
v1_draft(现稿v1),True,50905,13001,0.9626,0.9222,1.0049,0.0822137301739988
v1_B(枚举OR),False,53137,13249,0.9523,0.9153,0.9908,0.015677836424450052
v1_B(枚举OR),True,53137,13249,0.9598,0.9203,1.001,0.05581499545239079
v1_A2(非正常),False,50893,13228,0.9574,0.9202,0.996,0.030803557301062642
v1_A2(非正常),True,50893,13228,0.9612,0.9214,1.0027,0.0668157507627248
v3_A(现稿v3),False,46981,14650,0.9535,0.9183,0.99,0.012990153768819186
v3_A(现稿v3),True,46981,14650,0.9646,0.9242,1.0067,0.09805917468227457
v3_B(枚举OR),False,52726,13157,0.9495,0.9124,0.988,0.010667111836857838
v3_B(枚举OR),True,52726,13157,0.9568,0.9173,0.998,0.040032324428196014
