variable,n,raw_agreement,cohen_kappa,gwet_ac1,prec_0,rec_0,F1_0,prec_1,rec_1,F1_1,prec_中,rec_中,F1_中,prec_轻,rec_轻,F1_轻
us_fatty,300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
us_fatty@2018,47,,1.0,,,,,,,,,,,,,
us_fatty@2019,42,,1.0,,,,,,,,,,,,,
us_fatty@2020,39,,1.0,,,,,,,,,,,,,
us_fatty@2021,38,,1.0,,,,,,,,,,,,,
us_fatty@2022,39,,1.0,,,,,,,,,,,,,
us_fatty@2023,48,,1.0,,,,,,,,,,,,,
us_fatty@2024,47,,1.0,,,,,,,,,,,,,
us_fatty_degree,23,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
us_hepatic_other,300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
us_hepatic_other@2018,47,,1.0,,,,,,,,,,,,,
us_hepatic_other@2019,42,,1.0,,,,,,,,,,,,,
us_hepatic_other@2020,39,,1.0,,,,,,,,,,,,,
us_hepatic_other@2021,38,,1.0,,,,,,,,,,,,,
us_hepatic_other@2022,39,,1.0,,,,,,,,,,,,,
us_hepatic_other@2023,48,,1.0,,,,,,,,,,,,,
us_hepatic_other@2024,47,,1.0,,,,,,,,,,,,,
us_gallstone,300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
us_gallstone@2018,47,,1.0,,,,,,,,,,,,,
us_gallstone@2019,42,,1.0,,,,,,,,,,,,,
us_gallstone@2020,39,,1.0,,,,,,,,,,,,,
us_gallstone@2021,38,,1.0,,,,,,,,,,,,,
us_gallstone@2022,39,,1.0,,,,,,,,,,,,,
us_gallstone@2023,48,,1.0,,,,,,,,,,,,,
us_gallstone@2024,47,,1.0,,,,,,,,,,,,,
us_kidney_cyst,300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
us_kidney_cyst@2018,47,,1.0,,,,,,,,,,,,,
us_kidney_cyst@2019,42,,1.0,,,,,,,,,,,,,
us_kidney_cyst@2020,39,,1.0,,,,,,,,,,,,,
us_kidney_cyst@2021,38,,1.0,,,,,,,,,,,,,
us_kidney_cyst@2022,39,,1.0,,,,,,,,,,,,,
us_kidney_cyst@2023,48,,1.0,,,,,,,,,,,,,
us_kidney_cyst@2024,47,,1.0,,,,,,,,,,,,,
us_unreadable,300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
us_unreadable@2018,47,,1.0,,,,,,,,,,,,,
us_unreadable@2019,42,,1.0,,,,,,,,,,,,,
us_unreadable@2020,39,,1.0,,,,,,,,,,,,,
us_unreadable@2021,38,,1.0,,,,,,,,,,,,,
us_unreadable@2022,39,,1.0,,,,,,,,,,,,,
us_unreadable@2023,48,,1.0,,,,,,,,,,,,,
us_unreadable@2024,47,,1.0,,,,,,,,,,,,,
main_discrepant,300,0.987,0.811,0.986,1.0,0.986,0.993,0.692,1.0,0.818,,,,,,
main_discrepant@2018,47,,1.0,,,,,,,,,,,,,
main_discrepant@2019,42,,1.0,,,,,,,,,,,,,
main_discrepant@2020,39,,1.0,,,,,,,,,,,,,
main_discrepant@2021,38,,1.0,,,,,,,,,,,,,
main_discrepant@2022,39,,0.0,,,,,,,,,,,,,
main_discrepant@2023,48,,0.789,,,,,,,,,,,,,
main_discrepant@2024,47,,1.0,,,,,,,,,,,,,
