variable,n,raw_agreement,cohen_kappa,gwet_ac1,prec_0,rec_0,F1_0,prec_1,rec_1,F1_1
ecg_normal,570,0.984,0.967,0.97,1.0,0.974,0.987,0.962,1.0,0.98
ecg_normal@2018,76,,1.0,,,,,,,
ecg_normal@2019,78,,1.0,,,,,,,
ecg_normal@2020,79,,1.0,,,,,,,
ecg_normal@2021,83,,1.0,,,,,,,
ecg_normal@2022,71,,1.0,,,,,,,
ecg_normal@2023,82,,0.934,,,,,,,
ecg_normal@2024,101,,0.837,,,,,,,
ecg_af,570,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ecg_af@2018,76,,1.0,,,,,,,
ecg_af@2019,78,,1.0,,,,,,,
ecg_af@2020,79,,1.0,,,,,,,
ecg_af@2021,83,,1.0,,,,,,,
ecg_af@2022,71,,1.0,,,,,,,
ecg_af@2023,82,,1.0,,,,,,,
ecg_af@2024,101,,1.0,,,,,,,
ecg_pac_pvc,570,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ecg_pac_pvc@2018,76,,1.0,,,,,,,
ecg_pac_pvc@2019,78,,1.0,,,,,,,
ecg_pac_pvc@2020,79,,1.0,,,,,,,
ecg_pac_pvc@2021,83,,1.0,,,,,,,
ecg_pac_pvc@2022,71,,1.0,,,,,,,
ecg_pac_pvc@2023,82,,1.0,,,,,,,
ecg_pac_pvc@2024,101,,1.0,,,,,,,
ecg_stt,570,0.996,0.99,0.995,1.0,0.995,0.998,0.985,1.0,0.992
ecg_stt@2018,76,,0.934,,,,,,,
ecg_stt@2019,78,,1.0,,,,,,,
ecg_stt@2020,79,,1.0,,,,,,,
ecg_stt@2021,83,,1.0,,,,,,,
ecg_stt@2022,71,,1.0,,,,,,,
ecg_stt@2023,82,,1.0,,,,,,,
ecg_stt@2024,101,,0.979,,,,,,,
ecg_avblock,570,0.998,0.988,0.998,1.0,0.998,0.999,0.978,1.0,0.989
ecg_avblock@2018,76,,1.0,,,,,,,
ecg_avblock@2019,78,,1.0,,,,,,,
ecg_avblock@2020,79,,1.0,,,,,,,
ecg_avblock@2021,83,,1.0,,,,,,,
ecg_avblock@2022,71,,1.0,,,,,,,
ecg_avblock@2023,82,,0.851,,,,,,,
ecg_avblock@2024,101,,1.0,,,,,,,
ecg_bbb,570,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ecg_bbb@2018,76,,1.0,,,,,,,
ecg_bbb@2019,78,,1.0,,,,,,,
ecg_bbb@2020,79,,1.0,,,,,,,
ecg_bbb@2021,83,,1.0,,,,,,,
ecg_bbb@2022,71,,1.0,,,,,,,
ecg_bbb@2023,82,,1.0,,,,,,,
ecg_bbb@2024,101,,1.0,,,,,,,
ecg_rate,570,0.991,0.943,0.99,1.0,0.99,0.995,0.9,1.0,0.947
ecg_rate@2018,76,,0.949,,,,,,,
ecg_rate@2019,78,,1.0,,,,,,,
ecg_rate@2020,79,,1.0,,,,,,,
ecg_rate@2021,83,,0.927,,,,,,,
ecg_rate@2022,71,,0.793,,,,,,,
ecg_rate@2023,82,,1.0,,,,,,,
ecg_rate@2024,101,,0.878,,,,,,,
ecg_srirr,570,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ecg_srirr@2018,76,,1.0,,,,,,,
ecg_srirr@2019,78,,1.0,,,,,,,
ecg_srirr@2020,79,,1.0,,,,,,,
ecg_srirr@2021,83,,1.0,,,,,,,
ecg_srirr@2022,71,,1.0,,,,,,,
ecg_srirr@2023,82,,1.0,,,,,,,
ecg_srirr@2024,101,,1.0,,,,,,,
ecg_axis,570,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ecg_axis@2018,76,,1.0,,,,,,,
ecg_axis@2019,78,,1.0,,,,,,,
ecg_axis@2020,79,,1.0,,,,,,,
ecg_axis@2021,83,,1.0,,,,,,,
ecg_axis@2022,71,,1.0,,,,,,,
ecg_axis@2023,82,,1.0,,,,,,,
ecg_axis@2024,101,,1.0,,,,,,,
ecg_qwave_mi,570,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ecg_qwave_mi@2018,76,,1.0,,,,,,,
ecg_qwave_mi@2019,78,,1.0,,,,,,,
ecg_qwave_mi@2020,79,,1.0,,,,,,,
ecg_qwave_mi@2021,83,,1.0,,,,,,,
ecg_qwave_mi@2022,71,,1.0,,,,,,,
ecg_qwave_mi@2023,82,,1.0,,,,,,,
ecg_qwave_mi@2024,101,,1.0,,,,,,,
ecg_other,570,0.982,0.877,0.98,0.981,1.0,0.99,1.0,0.796,0.886
ecg_other@2018,76,,0.934,,,,,,,
ecg_other@2019,78,,0.843,,,,,,,
ecg_other@2020,79,,0.902,,,,,,,
ecg_other@2021,83,,0.821,,,,,,,
ecg_other@2022,71,,1.0,,,,,,,
ecg_other@2023,82,,0.661,,,,,,,
ecg_other@2024,101,,0.808,,,,,,,
ecg_unreadable,570,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ecg_unreadable@2018,76,,1.0,,,,,,,
ecg_unreadable@2019,78,,1.0,,,,,,,
ecg_unreadable@2020,79,,1.0,,,,,,,
ecg_unreadable@2021,83,,1.0,,,,,,,
ecg_unreadable@2022,71,,1.0,,,,,,,
ecg_unreadable@2023,82,,1.0,,,,,,,
ecg_unreadable@2024,101,,1.0,,,,,,,
