domain,variable,model,n,kappa,ci_lo,ci_hi,gate_f1
ECHO,echo_lvh,qwen2.5:14b,298,0.944,0.872,1.0,PASS
ECHO,echo_la_dilate,qwen2.5:14b,298,0.877,0.792,0.954,FAIL
ECHO,echo_normal,qwen2.5:14b,298,0.973,0.938,1.0,PASS
ECHO,echo_variant,qwen2.5:14b,297,0.833,0.756,0.903,FAIL
ECHO,ef_abnormal,qwen2.5:14b,298,1.0,1.0,1.0,PASS
ECHO,reflux_grade,qwen2.5:14b,298,0.935,0.896,0.97,PASS
ECHO,echo_unreadable,qwen2.5:14b,300,1.0,1.0,1.0,PASS
ECHO,echo_lvh,qwen2.5:7b,298,0.924,0.837,0.984,PASS
ECHO,echo_la_dilate,qwen2.5:7b,298,0.793,0.677,0.903,FAIL
ECHO,echo_normal,qwen2.5:7b,298,0.964,0.925,0.991,PASS
ECHO,echo_variant,qwen2.5:7b,297,0.706,0.621,0.794,FAIL
ECHO,ef_abnormal,qwen2.5:7b,298,1.0,1.0,1.0,PASS
ECHO,reflux_grade,qwen2.5:7b,298,0.849,0.793,0.899,FAIL
ECHO,echo_unreadable,qwen2.5:7b,300,1.0,1.0,1.0,PASS
ECHO,echo_lvh,glm4:9b,298,0.391,0.168,0.575,FAIL
ECHO,echo_la_dilate,glm4:9b,298,0.701,0.547,0.825,FAIL
ECHO,echo_normal,glm4:9b,298,0.955,0.914,0.991,PASS
ECHO,echo_variant,glm4:9b,297,0.77,0.679,0.854,FAIL
ECHO,ef_abnormal,glm4:9b,298,1.0,1.0,1.0,PASS
ECHO,reflux_grade,glm4:9b,298,0.62,0.558,0.683,FAIL
ECHO,echo_unreadable,glm4:9b,300,1.0,1.0,1.0,PASS
ECG,ecg_normal,qwen2.5:14b,561,0.989,0.974,1.0,PASS
ECG,ecg_af,qwen2.5:14b,570,1.0,1.0,1.0,PASS
ECG,ecg_pac_pvc,qwen2.5:14b,570,0.982,0.936,1.0,PASS
ECG,ecg_stt,qwen2.5:14b,568,0.98,0.959,0.995,PASS
ECG,ecg_avblock,qwen2.5:14b,569,0.93,0.872,0.978,PASS
ECG,ecg_bbb,qwen2.5:14b,570,0.988,0.961,1.0,PASS
ECG,ecg_rate,qwen2.5:14b,570,0.925,0.858,0.971,PASS
ECG,ecg_srirr,qwen2.5:14b,570,1.0,1.0,1.0,PASS
ECG,ecg_axis,qwen2.5:14b,570,0.968,0.913,1.0,PASS
ECG,ecg_qwave_mi,qwen2.5:14b,570,1.0,1.0,1.0,PASS
ECG,ecg_other,qwen2.5:14b,570,0.674,0.539,0.789,FAIL
ECG,ecg_unreadable,qwen2.5:14b,570,0.979,0.927,1.0,PASS
ECG,ecg_normal,qwen2.5:7b,561,0.993,0.981,1.0,PASS
ECG,ecg_af,qwen2.5:7b,570,0.963,0.924,0.992,PASS
ECG,ecg_pac_pvc,qwen2.5:7b,570,0.879,0.791,0.955,FAIL
ECG,ecg_stt,qwen2.5:7b,568,0.939,0.905,0.97,PASS
ECG,ecg_avblock,qwen2.5:7b,569,0.964,0.915,1.0,PASS
ECG,ecg_bbb,qwen2.5:7b,570,0.907,0.823,0.963,PASS
ECG,ecg_rate,qwen2.5:7b,570,0.877,0.791,0.945,FAIL
ECG,ecg_srirr,qwen2.5:7b,570,0.962,0.873,1.0,PASS
ECG,ecg_axis,qwen2.5:7b,570,0.834,0.709,0.936,FAIL
ECG,ecg_qwave_mi,qwen2.5:7b,570,1.0,1.0,1.0,PASS
ECG,ecg_other,qwen2.5:7b,570,0.125,0.0,0.252,FAIL
ECG,ecg_unreadable,qwen2.5:7b,570,0.793,0.618,0.916,FAIL
ECG,ecg_normal,glm4:9b,561,0.97,0.948,0.989,PASS
ECG,ecg_af,glm4:9b,570,1.0,1.0,1.0,PASS
ECG,ecg_pac_pvc,glm4:9b,570,1.0,1.0,1.0,PASS
ECG,ecg_stt,glm4:9b,568,0.955,0.927,0.984,PASS
ECG,ecg_avblock,glm4:9b,569,0.665,0.562,0.751,FAIL
ECG,ecg_bbb,glm4:9b,570,0.902,0.82,0.962,PASS
ECG,ecg_rate,glm4:9b,570,0.831,0.73,0.909,FAIL
ECG,ecg_srirr,glm4:9b,570,0.962,0.855,1.0,PASS
ECG,ecg_axis,glm4:9b,570,0.715,0.57,0.834,FAIL
ECG,ecg_qwave_mi,glm4:9b,570,1.0,1.0,1.0,PASS
ECG,ecg_other,glm4:9b,570,0.337,0.176,0.487,FAIL
ECG,ecg_unreadable,glm4:9b,570,0.489,0.233,0.682,FAIL
