extractor,year,n,kappa,ci_lo,ci_hi
dict v1,overall,561,0.866,0.826,0.908
dict v1,2018,76,0.894,0.787,0.974
dict v1,2019,78,0.974,0.919,1.0
dict v1,2020,79,0.975,0.92,1.0
dict v1,2021,83,0.976,0.925,1.0
dict v1,2022,71,0.885,0.75,0.972
dict v1,2023,80,0.406,0.255,0.57
dict v1,2024,94,0.974,0.915,1.0
dict v3,overall,561,0.996,0.989,1.0
dict v3,2018,76,1.0,1.0,1.0
dict v3,2019,78,1.0,1.0,1.0
dict v3,2020,79,1.0,1.0,1.0
dict v3,2021,83,1.0,1.0,1.0
dict v3,2022,71,0.97,0.897,1.0
dict v3,2023,80,1.0,1.0,1.0
dict v3,2024,94,1.0,1.0,1.0
qwen2.5:14b,overall,561,0.989,0.974,1.0
qwen2.5:14b,2018,76,0.973,0.916,1.0
qwen2.5:14b,2019,78,0.974,0.917,1.0
qwen2.5:14b,2020,79,1.0,1.0,1.0
qwen2.5:14b,2021,83,1.0,1.0,1.0
qwen2.5:14b,2022,71,0.97,0.897,1.0
qwen2.5:14b,2023,80,1.0,1.0,1.0
qwen2.5:14b,2024,94,1.0,1.0,1.0
qwen2.5:7b,overall,561,0.993,0.981,1.0
qwen2.5:7b,2018,76,1.0,1.0,1.0
qwen2.5:7b,2019,78,1.0,1.0,1.0
qwen2.5:7b,2020,79,1.0,1.0,1.0
qwen2.5:7b,2021,83,1.0,1.0,1.0
qwen2.5:7b,2022,71,0.97,0.897,1.0
qwen2.5:7b,2023,80,1.0,1.0,1.0
qwen2.5:7b,2024,94,0.974,0.912,1.0
glm4:9b,overall,561,0.97,0.948,0.989
glm4:9b,2018,76,0.92,0.816,1.0
glm4:9b,2019,78,1.0,1.0,1.0
glm4:9b,2020,79,1.0,1.0,1.0
glm4:9b,2021,83,1.0,1.0,1.0
glm4:9b,2022,71,1.0,1.0,1.0
glm4:9b,2023,80,0.966,0.886,1.0
glm4:9b,2024,94,0.9,0.794,0.977
