id,claim,claimed,actual,verdict
C1,"visit-records 122,575",122575.0,122575.0,PASS
C2,"individuals 30,677",30677.0,30677.0,PASS
C3,"v1-readable ECG narratives 121,220",121220.0,121220.0,PASS
C4,MASLD prevalence 40.1%,40.1,40.1,PASS
G1,"gold total 1,470",1470.0,1470.0,PASS
G2,43 disagreeing labels arbitrated (two rounds),43.0,43.0,PASS
G3,15 uncertainty flags upheld,15.0,15.0,PASS
G4,annotator κ min 0.00 (ABDUS main_discrepant@2022),0.0,0.0,PASS
G4b,annotator κ range excl. degenerate stratum min 0.66,0.66,0.66,PASS
G5,annotator κ range max 1.00,1.0,1.0,PASS
G6,lvh re-annot κ 0.83→0.98 (v2.0),0.98,0.98,PASS
G7,lvh round1 κ was 0.83,0.83,0.832,PASS
G8,la_dilate re-annot κ 0.81→1.00,1.0,1.0,PASS
G9,la_dilate round1 κ was 0.81,0.81,0.814,PASS
G10,lvh v2.0 F1 0.98,0.98,0.982,PASS
G11,lvh final prevalence 28/300 (final-resolution 口径),28.0,28.0,PASS
G12,la_dilate final prevalence 33/300,33.0,33.0,PASS
G13,self-repeat 60/66 pairs raw≥0.90,60.0,60.0,PASS
G14,self-repeat κ<0.85 in 19/66,19.0,19.0,PASS
G15a,changed labels total 84,84.0,84.0,PASS
G15b,46/84 changed labels rule-revised,46.0,46.0,PASS
G16,nested re-annotation 120/120,120.0,120.0,PASS
G17,residual F1 gap ECG other 0.89,0.89,0.89,PASS
G18,residual F1 gap main_discrepant 0.90,0.9,0.9,PASS
D1,v1-v3 overall raw 92.3%,92.33,92.33,PASS
D2,v1-v3 overall κ=0.84,0.84,0.84,PASS
D3,2022 κ=0.88（崩塌消失，H 层修正后）,0.88,0.88,PASS
D4,2023 mixed-definition κ=0.693（清洁库重建后）,0.693,0.693,PASS
D5,2024 κ=0.71,0.71,0.71,PASS
D6,stable years κ 0.88–0.96 (min),0.88,0.88,PASS
D7,stable years κ 0.88–0.96 (max),0.96,0.96,PASS
D8,2023 positive-call v1 36.9%,37.0,36.9,PASS
D9,2023 positive-call v3 52.1%,52.0,52.1,PASS
P1,production outcome fullcov HR 0.974 p=0.229,0.974,0.974,PASS
P2,ST-T fullcov HR 1.079 p=0.0076,1.079,1.079,PASS
P3,ST-T +FE HR 1.074 p=0.0067,1.074,1.074,PASS
P4,AF fullcov HR 0.876 p=0.363,0.876,0.876,PASS
P5,anyBlock fullcov HR 1.034 p=0.488,1.034,1.034,PASS
P8,v1 harmonized HR 0.958 p=0.035,0.958,0.958,PASS
P9,v3 harmonized HR 0.953 p=0.013,0.953,0.953,PASS
P10,v3+FE HR 0.964 p=0.096,0.964,0.964,PASS
P11,"v3 events 14,668",14668.0,14668.0,PASS
P12,"v1 events 13,016",13016.0,13016.0,PASS
P13,naive production HR 0.959 p=0.046,0.959,0.959,PASS
P14,naive+FE HR 0.961 p=0.056,0.961,0.961,PASS
P15,adjudicated production HR 0.960 p=0.052,0.96,0.96,PASS
P16,spec-curve median HR 0.969 (24 specs),0.969,0.969,PASS
P17,version ΔHR +0.0018 (yearFE),0.0018,0.0018,PASS
B1 κ=0.6,HR_true=1.30 → observed 1.17,1.17,1.17,PASS
B1 κ=0.8,HR_true=1.30 → observed 1.23,1.23,1.23,PASS
B1 κ=0.95,HR_true=1.30 → observed 1.28,1.28,1.28,PASS
S1,measured κ 0.99 (0.9929),0.99,0.99,PASS
S2,n=585,585.0,585.0,PASS
S3,SIMEX naive 0.9533→0.9528,0.9528,0.9528,PASS
S4,SIMEX ST-T 1.0787→1.0796,1.0796,1.0796,PASS
E1,JSON compliance 300/300 (14b),300.0,300.0,PASS
E2,lvh κ=0.944,0.944,0.944,PASS
E3,lvh F1 0.949,0.949,0.949,PASS
E4,echo_normal κ=0.973,0.973,0.973,PASS
E5,ef κ=1.000,1.0,1.0,PASS
E6,reflux κ=0.935,0.935,0.935,PASS
E7,la_dilate κ=0.877 F1=0.892,0.892,0.892,PASS
E8,echo_variant κ=0.833,0.833,0.833,PASS
E9,14b 5/7 PASS,5.0,5.0,PASS
E10,7b 4/7 PASS,4.0,4.0,PASS
E11,glm4 3/7 PASS,3.0,3.0,PASS
L1,14b median 4.12s,4.12,4.12,PASS
L2,7b median 2.47s,2.47,2.47,PASS
L3,glm4 median 2.66s,2.66,2.66,PASS
L4,GPU-h/1000 0.69–1.23 (max),1.23,1.23,PASS
T1,14b 10/12 PASS,10.0,10.0,PASS
T2,passing κ min 0.93,0.93,0.93,PASS
T3,passing κ max 1.00,1.0,1.0,PASS
T4,avblock κ=0.93,0.93,0.93,PASS
T5,rate κ=0.93,0.93,0.93,PASS
T6,ecg_other κ=0.68 (FAIL),0.68,0.68,PASS
T7,7b 8/12,8.0,8.0,PASS
T8,glm4 7/12,7.0,7.0,PASS
F1,14b 2022 κ=0.97,0.97,0.97,PASS
F2,14b 2023 κ=0.897,0.897,0.897,PASS
F3,14b strata min 0.84,0.84,0.84,PASS
F4,v1 2023 κ=0.93,0.93,0.93,PASS
F5,strata n 71–94 (min),71.0,71.0,PASS
