analysis,n,kappa,ci_lo,ci_hi
ecg_other_as_annotated,570,0.685,0.55,0.794
ecg_other_exclude_HV_rows,543,0.807,0.63,0.943
ecg_other_HV_gold_to_0,570,0.577,0.386,0.734
echo_normal_qwen2.5:14b_label_only,300,0.954,,
echo_variant_qwen2.5:14b_label_only,299,0.569,,
echo_normal_qwen2.5:14b_field_only,300,0.938,,
echo_variant_qwen2.5:14b_field_only,299,0.833,,
echo_normal_qwen2.5:14b_hybrid_planB,300,0.938,,
echo_variant_qwen2.5:14b_hybrid_planB,299,0.833,,
echo_normal_qwen2.5:7b_label_only,300,0.781,,
echo_variant_qwen2.5:7b_label_only,299,0.35,,
echo_normal_qwen2.5:7b_field_only,300,0.955,,
echo_variant_qwen2.5:7b_field_only,299,0.707,,
echo_normal_qwen2.5:7b_hybrid_planB,300,0.946,,
echo_variant_qwen2.5:7b_hybrid_planB,299,0.707,,
echo_normal_glm4:9b_label_only,300,0.834,,
echo_variant_glm4:9b_label_only,299,0.203,,
echo_normal_glm4:9b_field_only,300,0.451,,
echo_variant_glm4:9b_field_only,299,0.76,,
echo_normal_glm4:9b_hybrid_planB,300,0.452,,
echo_variant_glm4:9b_hybrid_planB,299,0.76,,
