model,variable,n,raw_acc,cohen_kappa,F1_1,acc@2023,acc@2024,acc@2025,acc@2026,verdict,fail_note,F1_0,F1_none,F1_trace_mild,F1_moderate,F1_severe
qwen2.5:14b,echo_lvh,298,0.99,0.944,0.949,0.969,1.0,0.992,1.0,PASS,,,,,,
qwen2.5:14b,echo_la_dilate,298,0.973,0.877,0.892,0.969,0.958,0.984,0.971,FAIL,F1_1=0.8918918918918919,,,,,
qwen2.5:14b,echo_normal,298,0.99,0.973,,1.0,1.0,0.977,1.0,PASS,,0.993,,,,
qwen2.5:14b,echo_variant,297,0.936,0.833,0.876,0.938,0.901,0.953,0.943,FAIL,acc=0.936;F1_1=0.8758169934640523,,,,,
qwen2.5:14b,ef_abnormal,298,1.0,1.0,1.0,1.0,1.0,1.0,1.0,PASS,,,,,,
qwen2.5:14b,reflux_grade,298,0.956,0.935,,0.984,0.901,0.977,0.943,PASS,,,0.994,0.957,0.943,0.5
qwen2.5:14b,echo_unreadable,300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,PASS,,,,,,
qwen2.5:7b,echo_lvh,298,0.987,0.924,0.931,0.969,0.986,0.992,1.0,PASS,,,,,,
qwen2.5:7b,echo_la_dilate,298,0.963,0.793,0.814,0.969,0.93,0.969,1.0,FAIL,kappa=0.793;F1_1=0.8135593220338984,,,,,
qwen2.5:7b,echo_normal,298,0.987,0.964,,0.969,1.0,0.984,1.0,PASS,,0.991,,,,
qwen2.5:7b,echo_variant,297,0.879,0.706,0.788,0.922,0.817,0.913,0.8,FAIL,"kappa=0.706;acc=0.879;F1_1=0.788235294117647;layer:2024=0.817,2026=0.800",,,,,
qwen2.5:7b,ef_abnormal,298,1.0,1.0,1.0,1.0,1.0,1.0,1.0,PASS,,,,,,
qwen2.5:7b,reflux_grade,298,0.899,0.849,,0.969,0.803,0.938,0.829,FAIL,"acc=0.899;F1_min=0.85;layer:2024=0.803,2026=0.829",,0.994,0.883,0.85,0.0
qwen2.5:7b,echo_unreadable,300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,PASS,,,,,,
glm4:9b,echo_lvh,298,0.926,0.391,0.421,0.953,0.915,0.906,0.971,FAIL,kappa=0.391;acc=0.926;F1_1=0.4210526315789473,,,,,
glm4:9b,echo_la_dilate,298,0.95,0.701,0.727,0.953,0.958,0.938,0.971,FAIL,kappa=0.701;acc=0.950;F1_1=0.7272727272727273,,,,,
glm4:9b,echo_normal,298,0.983,0.955,,0.969,1.0,0.977,1.0,PASS,,0.989,,,,
glm4:9b,echo_variant,297,0.916,0.77,0.825,0.906,0.915,0.913,0.943,FAIL,kappa=0.770;acc=0.916;F1_1=0.8251748251748252,,,,,
glm4:9b,ef_abnormal,298,1.0,1.0,1.0,1.0,1.0,1.0,1.0,PASS,,,,,,
glm4:9b,reflux_grade,298,0.721,0.62,,0.828,0.69,0.727,0.571,FAIL,"kappa=0.620;acc=0.721;F1_min=0.098;layer:2023=0.828,2024=0.690,2025=0.727,2026=0.571",,0.994,0.84,0.562,0.098
glm4:9b,echo_unreadable,300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,PASS,,,,,,
