spec,n_risk,n_events,HR,CI_lo,CI_hi,p,arm
A_truth,40682,13160,1.0751,1.0328,1.1191,0.0004081785447238759,A_truth
A_truth+yearFE,40682,13160,0.9591,0.9127,1.0078,0.09821261258368535,A_truth
B_yearvarying_r00,49233,14308,1.0256,0.9869,1.0659,0.19711621253941367,B_yearvarying
B_yearvarying_r00+yearFE,49233,14308,0.9638,0.9199,1.0098,0.12127177843659226,B_yearvarying
B_yearvarying_r01,49203,14404,1.0131,0.9751,1.0526,0.50495301099446,B_yearvarying
B_yearvarying_r01+yearFE,49203,14404,0.9484,0.9058,0.9931,0.024184849528422755,B_yearvarying
B_yearvarying_r02,49201,14365,1.0011,0.9635,1.0403,0.9536260390306458,B_yearvarying
B_yearvarying_r02+yearFE,49201,14365,0.9447,0.9029,0.9885,0.013881760570441121,B_yearvarying
B_yearvarying_r03,49299,14289,1.0325,0.9936,1.0729,0.10280459285460156,B_yearvarying
B_yearvarying_r03+yearFE,49299,14289,0.9695,0.9255,1.0157,0.1920515241813321,B_yearvarying
B_yearvarying_r04,49223,14365,1.0218,0.9834,1.0617,0.269940282607604,B_yearvarying
B_yearvarying_r04+yearFE,49223,14365,0.9518,0.9088,0.997,0.036733687896361084,B_yearvarying
B_yearvarying_r05,49323,14373,1.0234,0.985,1.0634,0.23538397313271492,B_yearvarying
B_yearvarying_r05+yearFE,49323,14373,0.9596,0.9158,1.0056,0.08413180193513266,B_yearvarying
B_yearvarying_r06,49330,14404,1.0288,0.9902,1.0689,0.14542652101203915,B_yearvarying
B_yearvarying_r06+yearFE,49330,14404,0.9621,0.918,1.0084,0.10727197943152103,B_yearvarying
B_yearvarying_r07,49170,14248,1.0454,1.0061,1.0864,0.023269990894415317,B_yearvarying
B_yearvarying_r07+yearFE,49170,14248,0.9801,0.9354,1.0269,0.3973028627843316,B_yearvarying
B_yearvarying_r08,49166,14294,0.985,0.9476,1.0237,0.44186866758106846,B_yearvarying
B_yearvarying_r08+yearFE,49166,14294,0.92,0.8774,0.9646,0.0005598591569267136,B_yearvarying
B_yearvarying_r09,49176,14311,1.0228,0.9843,1.0628,0.24947855793259166,B_yearvarying
B_yearvarying_r09+yearFE,49176,14311,0.9606,0.9178,1.0055,0.08434361686490206,B_yearvarying
B_yearvarying_r10,49283,14432,1.0393,1.0004,1.0798,0.04787696129399265,B_yearvarying
B_yearvarying_r10+yearFE,49283,14432,0.9731,0.9288,1.0195,0.2517700107555246,B_yearvarying
B_yearvarying_r11,49286,14369,1.0186,0.9803,1.0583,0.34605864094540206,B_yearvarying
B_yearvarying_r11+yearFE,49286,14369,0.9512,0.9089,0.9955,0.031346605537072456,B_yearvarying
B_yearvarying_r12,49189,14396,1.0101,0.972,1.0497,0.6090258796721064,B_yearvarying
B_yearvarying_r12+yearFE,49189,14396,0.9502,0.9079,0.9943,0.027449911157076304,B_yearvarying
B_yearvarying_r13,49254,14349,1.0182,0.9799,1.0581,0.35662927879662865,B_yearvarying
B_yearvarying_r13+yearFE,49254,14349,0.9497,0.9068,0.9947,0.028899860747287502,B_yearvarying
B_yearvarying_r14,49132,14318,1.0299,0.9911,1.0703,0.13220881636782392,B_yearvarying
B_yearvarying_r14+yearFE,49132,14318,0.9643,0.921,1.0097,0.12146986110407404,B_yearvarying
B_yearvarying_r15,49290,14332,0.9986,0.961,1.0378,0.9449451540516728,B_yearvarying
B_yearvarying_r15+yearFE,49290,14332,0.9347,0.8928,0.9784,0.0038090078655621702,B_yearvarying
B_yearvarying_r16,49320,14387,1.0432,1.004,1.0839,0.030427321049869074,B_yearvarying
B_yearvarying_r16+yearFE,49320,14387,0.9741,0.9298,1.0204,0.2682868694638709,B_yearvarying
B_yearvarying_r17,49284,14324,1.0214,0.9829,1.0615,0.27901795212599634,B_yearvarying
B_yearvarying_r17+yearFE,49284,14324,0.9573,0.9139,1.0027,0.06510357956921278,B_yearvarying
B_yearvarying_r18,49256,14385,1.025,0.9865,1.065,0.2056739669416174,B_yearvarying
B_yearvarying_r18+yearFE,49256,14385,0.9621,0.9182,1.0081,0.10479507771598673,B_yearvarying
B_yearvarying_r19,49099,14260,1.0013,0.9634,1.0406,0.9476312346786259,B_yearvarying
B_yearvarying_r19+yearFE,49099,14260,0.936,0.8934,0.9806,0.005402625215966997,B_yearvarying
B_yearvarying_r20,49223,14369,1.0179,0.9796,1.0577,0.3634681216487342,B_yearvarying
B_yearvarying_r20+yearFE,49223,14369,0.9489,0.9062,0.9937,0.02593282968493097,B_yearvarying
B_yearvarying_r21,49324,14394,1.0257,0.9872,1.0657,0.19352167150999433,B_yearvarying
B_yearvarying_r21+yearFE,49324,14394,0.9583,0.9148,1.0039,0.07254799550799823,B_yearvarying
B_yearvarying_r22,49204,14352,1.0338,0.9949,1.0742,0.08941462821801065,B_yearvarying
B_yearvarying_r22+yearFE,49204,14352,0.9664,0.9227,1.0121,0.14687155862080675,B_yearvarying
B_yearvarying_r23,49168,14333,1.0153,0.9771,1.0551,0.43707353146221584,B_yearvarying
B_yearvarying_r23+yearFE,49168,14333,0.9519,0.9079,0.9981,0.04157077987383294,B_yearvarying
B_yearvarying_r24,49311,14472,1.0405,1.0016,1.081,0.04128035669204654,B_yearvarying
B_yearvarying_r24+yearFE,49311,14472,0.9735,0.9294,1.0197,0.25682678014702354,B_yearvarying
