spec,outcome,n_risk,n_events,HR,CI_lo,CI_hi,p
fullcov_anyAbnormal,ecg_abnormal,56364,12956,1.0039,0.9624,1.0472,0.8558097809609098
fullcov_anyAbnormal+yearFE,ecg_abnormal,56364,12956,0.9858,0.9369,1.0372,0.5804725199654591
fullcov_STT,ecg_stt,74107,6603,1.0817,1.0196,1.1476,0.00918360168601744
fullcov_STT+yearFE,ecg_stt,74107,6603,1.0603,0.9918,1.1336,0.08582350014225684
fullcov_AF,ecg_af,81035,339,0.9071,0.6945,1.1846,0.4738672409821857
fullcov_AF+yearFE,ecg_af,81035,339,0.9492,0.8891,1.0133,0.11791190111018887
fullcov_anyBlock,ecg_anyBlock,76803,2752,0.9155,0.8343,1.0045,0.062207933090434465
fullcov_anyBlock+yearFE,ecg_anyBlock,76803,2752,0.9768,0.895,1.0661,0.5987803468676773
harmonized_v1,v1_abnormal,56241,12905,0.9804,0.9415,1.0208,0.3366641702042035
harmonized_v1+yearFE,v1_abnormal,56241,12905,0.9735,0.9272,1.022,0.2788399864414474
harmonized_v3,v3_abnormal,42666,16243,1.1196,1.0797,1.161,1.0680426342127786e-09
harmonized_v3+yearFE,v3_abnormal,42666,16243,0.9797,0.9371,1.0242,0.36495818420247006
