rep,HR_noFE,HR_yearFE,CI_lo_noFE,CI_lo_yearFE,CI_hi_noFE,CI_hi_yearFE,p_noFE,p_yearFE,draw
0,1.0052,0.9803,0.9686,0.9393,1.0432,1.023,0.7849402214654566,0.35952320896749423,"{""2018"": [0.8207, 0.9555], ""2019"": [0.9431, 0.9928], ""2020"": [0.9288, 0.9778], ""2021"": [0.928, 0.9985], ""2022"": [0.2902, 0.9797], ""2023"": [0.4213, 0.96], ""2024"": [0.7307, 0.9927]}"
1,1.0007,0.9827,0.9638,0.9418,1.039,1.0254,0.971644697418832,0.4224335479788297,"{""2018"": [0.8411, 0.9758], ""2019"": [0.9067, 0.9992], ""2020"": [0.9726, 0.9998], ""2021"": [0.9496, 0.9795], ""2022"": [0.3743, 0.9751], ""2023"": [0.3996, 0.9463], ""2024"": [0.6607, 0.9894]}"
2,0.9658,0.9564,0.9312,0.9135,1.0016,1.0014,0.06125498058953004,0.05765889505111208,"{""2018"": [0.8591, 0.9874], ""2019"": [0.8743, 0.9934], ""2020"": [0.8336, 0.9891], ""2021"": [0.956, 0.9869], ""2022"": [0.4189, 0.9721], ""2023"": [0.2788, 0.9983], ""2024"": [0.7993, 0.9972]}"
3,0.9593,0.9737,0.9234,0.9311,0.9965,1.0183,0.032383771867610794,0.24392260378677943,"{""2018"": [0.8112, 0.9946], ""2019"": [0.8169, 0.9954], ""2020"": [0.8118, 0.9978], ""2021"": [0.9334, 0.9956], ""2022"": [0.3734, 0.912], ""2023"": [0.1674, 0.9757], ""2024"": [0.6464, 0.9981]}"
4,1.0232,0.9748,0.9859,0.9326,1.062,1.019,0.2262893317808573,0.25935557696549094,"{""2018"": [0.9012, 0.9783], ""2019"": [0.8948, 0.979], ""2020"": [0.9097, 0.9921], ""2021"": [0.7405, 0.9705], ""2022"": [0.3457, 0.9632], ""2023"": [0.3395, 0.9966], ""2024"": [0.7416, 0.9889]}"
5,0.9876,0.9711,0.9515,0.9288,1.0251,1.0153,0.5115770033176611,0.19665528750041614,"{""2018"": [0.8673, 0.9909], ""2019"": [0.9222, 0.9539], ""2020"": [0.926, 0.9844], ""2021"": [0.9754, 0.971], ""2022"": [0.4544, 0.9983], ""2023"": [0.2386, 0.9982], ""2024"": [0.7103, 0.998]}"
6,1.0256,0.9578,0.9884,0.9178,1.0641,0.9996,0.18000772356506906,0.04797070285146802,"{""2018"": [0.8394, 0.9844], ""2019"": [0.9706, 0.9963], ""2020"": [0.9664, 0.9475], ""2021"": [0.839, 0.979], ""2022"": [0.4141, 0.8758], ""2023"": [0.3522, 0.998], ""2024"": [0.6821, 0.9873]}"
7,0.9404,0.9561,0.9051,0.9144,0.9771,0.9998,0.0016717367726255985,0.04890235204691027,"{""2018"": [0.9077, 0.9607], ""2019"": [0.9156, 0.9845], ""2020"": [0.8973, 0.9851], ""2021"": [0.9876, 0.996], ""2022"": [0.2857, 0.9971], ""2023"": [0.2676, 0.9282], ""2024"": [0.7113, 0.9988]}"
8,0.9895,0.9565,0.9532,0.9161,1.0271,0.9987,0.5790456219109044,0.04351937867658052,"{""2018"": [0.8209, 0.9918], ""2019"": [0.8868, 0.9929], ""2020"": [0.984, 0.9911], ""2021"": [0.9362, 0.9991], ""2022"": [0.3458, 0.9792], ""2023"": [0.3207, 0.9239], ""2024"": [0.6952, 0.9744]}"
9,0.9385,0.9526,0.9036,0.91,0.9747,0.9972,0.0010217431281992757,0.0376211934557005,"{""2018"": [0.8017, 0.9816], ""2019"": [0.8277, 0.9941], ""2020"": [0.9499, 0.9903], ""2021"": [0.9235, 0.963], ""2022"": [0.2136, 0.9236], ""2023"": [0.1987, 0.9842], ""2024"": [0.732, 0.9933]}"
10,0.9567,0.9586,0.9215,0.9162,0.9932,1.0029,0.020610519467069273,0.06651945468333817,"{""2018"": [0.8398, 0.9101], ""2019"": [0.9578, 0.9313], ""2020"": [0.9103, 0.9738], ""2021"": [0.9814, 0.9832], ""2022"": [0.2849, 0.9385], ""2023"": [0.2318, 0.9964], ""2024"": [0.7365, 0.9916]}"
11,0.9679,0.9648,0.9331,0.923,1.004,1.0084,0.0808954862890646,0.11229372556769328,"{""2018"": [0.8752, 0.9938], ""2019"": [0.8511, 0.9749], ""2020"": [0.8353, 0.9941], ""2021"": [0.8978, 0.9826], ""2022"": [0.3576, 0.9985], ""2023"": [0.3664, 0.9991], ""2024"": [0.6996, 0.8846]}"
12,1.0303,0.9863,0.9938,0.9453,1.0682,1.0291,0.10474714800833712,0.5238401309227889,"{""2018"": [0.8735, 0.9954], ""2019"": [0.8908, 0.9576], ""2020"": [0.9831, 0.9206], ""2021"": [0.9541, 0.9975], ""2022"": [0.2885, 0.9536], ""2023"": [0.4049, 0.9842], ""2024"": [0.7615, 0.9594]}"
13,1.0083,0.9726,0.9718,0.9322,1.0461,1.0147,0.6616345276970821,0.19905601905706585,"{""2018"": [0.8398, 0.9068], ""2019"": [0.8711, 0.9932], ""2020"": [0.9451, 0.956], ""2021"": [0.9142, 0.9872], ""2022"": [0.262, 0.8616], ""2023"": [0.4033, 0.9686], ""2024"": [0.7445, 0.9979]}"
