domain,variable,rater,n,raw_agreement,cohen_kappa,gwet_ac1,changed,v2_affected
ECG_H,ecg_normal,A1,57,1.0,1.0,1.0,0,False
ECG_H,ecg_normal,A2,57,1.0,1.0,1.0,0,False
ECG_H,ecg_af,A1,57,1.0,1.0,1.0,0,False
ECG_H,ecg_af,A2,57,1.0,1.0,1.0,0,False
ECG_H,ecg_pac_pvc,A1,57,1.0,1.0,1.0,0,False
ECG_H,ecg_pac_pvc,A2,57,1.0,1.0,1.0,0,False
ECG_H,ecg_stt,A1,57,1.0,1.0,1.0,0,False
ECG_H,ecg_stt,A2,57,1.0,1.0,1.0,0,False
ECG_H,ecg_avblock,A1,57,1.0,1.0,1.0,0,False
ECG_H,ecg_avblock,A2,57,1.0,1.0,1.0,0,False
ECG_H,ecg_bbb,A1,57,1.0,1.0,1.0,0,False
ECG_H,ecg_bbb,A2,57,1.0,1.0,1.0,0,False
ECG_H,ecg_rate,A1,57,0.982,0.879,0.979,1,True
ECG_H,ecg_rate,A2,57,1.0,1.0,1.0,0,True
ECG_H,ecg_srirr,A1,57,1.0,1.0,1.0,0,False
ECG_H,ecg_srirr,A2,57,1.0,1.0,1.0,0,False
ECG_H,ecg_axis,A1,57,0.895,0.457,0.87,6,False
ECG_H,ecg_axis,A2,57,1.0,1.0,1.0,0,False
ECG_H,ecg_qwave_mi,A1,57,1.0,1.0,1.0,0,False
ECG_H,ecg_qwave_mi,A2,57,1.0,1.0,1.0,0,False
ECG_H,ecg_other,A1,57,0.877,0.325,0.851,7,True
ECG_H,ecg_other,A2,57,0.912,0.412,0.897,5,True
ECG_H,ecg_unreadable,A1,57,1.0,1.0,1.0,0,False
ECG_H,ecg_unreadable,A2,57,1.0,1.0,1.0,0,False
ECHO_PG,echo_normal,A1,30,1.0,1.0,1.0,0,True
ECHO_PG,echo_normal,A2,30,1.0,1.0,1.0,0,True
ECHO_PG,echo_variant,A1,30,0.967,0.923,0.941,1,False
ECHO_PG,echo_variant,A2,30,0.967,0.923,0.941,1,False
ECHO_PG,echo_lvh,A1,30,0.967,0.0,0.966,1,True
ECHO_PG,echo_lvh,A2,30,0.967,0.0,0.966,1,True
ECHO_PG,echo_la_dilate,A1,30,1.0,1.0,1.0,0,True
ECHO_PG,echo_la_dilate,A2,30,0.967,0.651,0.963,1,True
ECHO_PG,ef_abnormal,A1,30,1.0,1.0,1.0,0,False
ECHO_PG,ef_abnormal,A2,30,1.0,1.0,1.0,0,False
ECHO_PG,echo_rhythm,A1,30,1.0,1.0,1.0,0,False
ECHO_PG,echo_rhythm,A2,30,1.0,1.0,1.0,0,False
ECHO_PG,echo_unreadable,A1,30,1.0,1.0,1.0,0,False
ECHO_PG,echo_unreadable,A2,30,1.0,1.0,1.0,0,False
ECHO_PG,ef_value,A1,30,1.0,1.0,1.0,0,False
ECHO_PG,ef_value,A2,30,1.0,1.0,1.0,0,False
ECHO_PG,reflux_grade,A1,30,1.0,1.0,1.0,0,False
ECHO_PG,reflux_grade,A2,30,1.0,1.0,1.0,0,False
ABDUS_PG,us_fatty,A1,30,1.0,1.0,1.0,0,False
ABDUS_PG,us_fatty,A2,30,0.933,0.857,0.876,2,False
ABDUS_PG,us_hepatic_other,A1,30,0.9,0.667,0.857,3,True
ABDUS_PG,us_hepatic_other,A2,30,0.967,0.87,0.955,1,True
ABDUS_PG,us_gallstone,A1,30,0.9,0.737,0.84,3,False
ABDUS_PG,us_gallstone,A2,30,0.933,0.793,0.902,2,False
ABDUS_PG,us_kidney_cyst,A1,30,1.0,1.0,1.0,0,False
ABDUS_PG,us_kidney_cyst,A2,30,1.0,1.0,1.0,0,False
ABDUS_PG,us_unreadable,A1,30,1.0,1.0,1.0,0,False
ABDUS_PG,us_unreadable,A2,30,1.0,1.0,1.0,0,False
ABDUS_PG,main_discrepant,A1,30,1.0,1.0,1.0,0,True
ABDUS_PG,main_discrepant,A2,30,1.0,1.0,1.0,0,True
ABDUS_H,us_fatty,A1,30,0.733,0.494,0.476,8,False
ABDUS_H,us_fatty,A2,30,0.767,0.545,0.546,7,False
ABDUS_H,us_hepatic_other,A1,30,0.9,0.734,0.84,3,True
ABDUS_H,us_hepatic_other,A2,30,0.933,0.814,0.896,2,True
ABDUS_H,us_gallstone,A1,30,0.933,0.762,0.908,2,False
ABDUS_H,us_gallstone,A2,30,0.933,0.762,0.908,2,False
ABDUS_H,us_kidney_cyst,A1,30,0.967,0.911,0.947,1,False
ABDUS_H,us_kidney_cyst,A2,30,0.967,0.911,0.947,1,False
ABDUS_H,us_unreadable,A1,30,0.967,0.0,0.966,1,False
ABDUS_H,us_unreadable,A2,30,0.967,0.0,0.966,1,False
ABDUS_H,main_discrepant,A1,30,0.667,-0.014,0.51,10,True
ABDUS_H,main_discrepant,A2,30,0.633,-0.204,0.477,11,True
