kappa,Se=Sp,prevalence_pi,HR_true,HR_obs,attenuation_pct
0.6,0.807,0.3474,1.0,1.0,-0.0
0.6,0.807,0.3474,1.1,1.0571,3.9
0.6,0.807,0.3474,1.2,1.1129,7.3
0.6,0.807,0.3474,1.3,1.1675,10.2
0.6,0.807,0.3474,1.4,1.2209,12.8
0.6,0.807,0.3474,1.5,1.2731,15.1
0.6,0.807,0.3474,1.6,1.3243,17.2
0.6,0.807,0.3474,1.7,1.3744,19.2
0.6,0.807,0.3474,1.8,1.4234,20.9
0.65,0.8322,0.3474,1.0,1.0,-0.0
0.65,0.8322,0.3474,1.1,1.0622,3.4
0.65,0.8322,0.3474,1.2,1.1233,6.4
0.65,0.8322,0.3474,1.3,1.1832,9.0
0.65,0.8322,0.3474,1.4,1.242,11.3
0.65,0.8322,0.3474,1.5,1.2996,13.4
0.65,0.8322,0.3474,1.6,1.3563,15.2
0.65,0.8322,0.3474,1.7,1.4119,16.9
0.65,0.8322,0.3474,1.8,1.4665,18.5
0.7,0.8571,0.3474,1.0,1.0,0.0
0.7,0.8571,0.3474,1.1,1.0675,3.0
0.7,0.8571,0.3474,1.2,1.1338,5.5
0.7,0.8571,0.3474,1.3,1.1991,7.8
0.7,0.8571,0.3474,1.4,1.2634,9.8
0.7,0.8571,0.3474,1.5,1.3267,11.6
0.7,0.8571,0.3474,1.6,1.389,13.2
0.7,0.8571,0.3474,1.7,1.4503,14.7
0.7,0.8571,0.3474,1.8,1.5107,16.1
0.75,0.8818,0.3474,1.0,1.0,0.0
0.75,0.8818,0.3474,1.1,1.0727,2.5
0.75,0.8818,0.3474,1.2,1.1445,4.6
0.75,0.8818,0.3474,1.3,1.2154,6.5
0.75,0.8818,0.3474,1.4,1.2853,8.2
0.75,0.8818,0.3474,1.5,1.3543,9.7
0.75,0.8818,0.3474,1.6,1.4224,11.1
0.75,0.8818,0.3474,1.7,1.4897,12.4
0.75,0.8818,0.3474,1.8,1.5561,13.5
0.8,0.9061,0.3474,1.0,1.0,0.0
0.8,0.9061,0.3474,1.1,1.0781,2.0
0.8,0.9061,0.3474,1.2,1.1554,3.7
0.8,0.9061,0.3474,1.3,1.2318,5.2
0.8,0.9061,0.3474,1.4,1.3075,6.6
0.8,0.9061,0.3474,1.5,1.3824,7.8
0.8,0.9061,0.3474,1.6,1.4566,9.0
0.8,0.9061,0.3474,1.7,1.53,10.0
0.8,0.9061,0.3474,1.8,1.6027,11.0
0.85,0.9302,0.3474,1.0,1.0,0.0
0.85,0.9302,0.3474,1.1,1.0835,1.5
0.85,0.9302,0.3474,1.2,1.1663,2.8
0.85,0.9302,0.3474,1.3,1.2485,4.0
0.85,0.9302,0.3474,1.4,1.3301,5.0
0.85,0.9302,0.3474,1.5,1.4111,5.9
0.85,0.9302,0.3474,1.6,1.4915,6.8
0.85,0.9302,0.3474,1.7,1.5712,7.6
0.85,0.9302,0.3474,1.8,1.6504,8.3
0.9,0.9538,0.3474,1.0,1.0,0.0
0.9,0.9538,0.3474,1.1,1.0889,1.0
0.9,0.9538,0.3474,1.2,1.1774,1.9
0.9,0.9538,0.3474,1.3,1.2655,2.7
0.9,0.9538,0.3474,1.4,1.3531,3.4
0.9,0.9538,0.3474,1.5,1.4402,4.0
0.9,0.9538,0.3474,1.6,1.527,4.6
0.9,0.9538,0.3474,1.7,1.6133,5.1
0.9,0.9538,0.3474,1.8,1.6992,5.6
0.95,0.9771,0.3474,1.0,1.0,0.0
0.95,0.9771,0.3474,1.1,1.0944,0.5
0.95,0.9771,0.3474,1.2,1.1886,0.9
0.95,0.9771,0.3474,1.3,1.2826,1.3
0.95,0.9771,0.3474,1.4,1.3764,1.7
0.95,0.9771,0.3474,1.5,1.4699,2.0
0.95,0.9771,0.3474,1.6,1.5632,2.3
0.95,0.9771,0.3474,1.7,1.6562,2.6
0.95,0.9771,0.3474,1.8,1.7491,2.8
