Characteristic,n,Value
Participants (persons),30677,—
Visit-records,122575,—
"Visits per person, median (IQR)",30677,4 (2–7)
"Age at baseline, years",30670,63.0 (54.0–68.0)
"Body mass index, kg/m²",30580,24.5 (22.5–26.7)
"Waist circumference, cm",30575,85.0 (78.0–90.0)
"Systolic blood pressure, mmHg",30578,132.0 (120.0–144.0)
"Diastolic blood pressure, mmHg",30578,80.0 (72.0–87.0)
"Fasting plasma glucose, mmol/L",30219,5.4 (5.0–6.0)
"HbA1c, %",2176,6.9 (6.3–7.9)
"Triglycerides, mmol/L",30220,1.3 (0.9–1.9)
"HDL cholesterol, mmol/L",30220,1.3 (1.1–1.6)
"Creatinine, μmol/L",30218,66 (57–78)
"eGFR (CKD-EPI 2021), mL/min/1.73 m²",30213,75.7 (50.6–98.0)
"Uric acid, μmol/L",30204,318 (266–380)
"Platelet count, ×10⁹/L",30219,199 (165–237)
"Neutrophil count, ×10⁹/L",30219,3.3 (2.6–4.0)
"Lymphocyte count, ×10⁹/L",30219,2.0 (1.6–2.4)
"Systemic immune-inflammation index, ×10⁹/L",30219,321 (235–438)
Women,30677,16904 (55.1%)
MASLD (ultrasound fatty liver + ≥1 cardiometabolic criterion),30675,11283 (36.8%)
Proteinuria (urine protein ≥1+),28750,582 (2.0%)
Screening-defined hypertension (SBP ≥140 or DBP ≥90 mmHg),30578,11580 (37.9%)
Screening-defined diabetes (FPG ≥7.0 mmol/L or HbA1c ≥6.5%),30219,4071 (13.5%)
Central obesity (waist ≥90 cm men / ≥85 cm women),30677,12115 (39.5%)
Hyperuricemia (uric acid >420 μmol/L men / >360 μmol/L women),30677,6101 (19.9%)
