domain,model,variable,target_class,n,TP,FP,FN,F1,Wilson_lo,Wilson_hi,gate,CI_contains_gate,CI_excludes_gate_below,CI_excludes_gate_above
ECG,qwen2.5:14b,ecg_normal,1,561,217,2,1,0.9931,0.98,0.9977,0.9,False,False,True
ECG,qwen2.5:14b,ecg_af,1,570,58,0,0,1.0,0.9679,1.0,0.9,False,False,True
ECG,qwen2.5:14b,ecg_pac_pvc,1,570,28,1,0,0.9825,0.9071,0.9969,0.9,False,False,True
ECG,qwen2.5:14b,ecg_stt,1,568,126,1,2,0.9882,0.966,0.996,0.9,False,False,True
ECG,qwen2.5:14b,ecg_avblock,1,569,43,6,0,0.9348,0.8649,0.9698,0.9,True,False,False
ECG,qwen2.5:14b,ecg_bbb,1,570,44,0,1,0.9888,0.9391,0.998,0.9,False,False,True
ECG,qwen2.5:14b,ecg_rate,1,570,48,7,0,0.932,0.8663,0.9667,0.9,True,False,False
ECG,qwen2.5:14b,ecg_srirr,1,570,10,0,0,1.0,0.8389,1.0,0.9,True,False,False
ECG,qwen2.5:14b,ecg_axis,1,570,31,0,1,0.9841,0.9154,0.9972,0.9,False,False,True
ECG,qwen2.5:14b,ecg_qwave_mi,1,570,2,0,0,1.0,0.5101,1.0,0.9,True,False,False
ECG,qwen2.5:14b,ecg_other,1,570,25,6,15,0.7042,0.5898,0.7977,0.9,False,True,False
ECG,qwen2.5:14b,ecg_unreadable,1,570,43,2,1,0.9663,0.9055,0.9885,0.9,False,False,True
ECG,qwen2.5:7b,ecg_normal,1,561,217,1,1,0.9954,0.9834,0.9987,0.9,False,False,True
ECG,qwen2.5:7b,ecg_af,1,570,58,0,0,1.0,0.9679,1.0,0.9,False,False,True
ECG,qwen2.5:7b,ecg_pac_pvc,1,570,24,3,4,0.8727,0.7598,0.937,0.9,True,False,False
ECG,qwen2.5:7b,ecg_stt,1,568,118,2,10,0.9516,0.9173,0.9721,0.9,False,False,True
